5406:01-16 17:19:10.632  6269  6269 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 395ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 194ms (seq=2 running=177ms runnable=2ms io=1ms late=1ms h=android.app.ActivityThread$H w=110), msg 2 took 228ms (seq=3 running=201ms runnable=3ms io=5ms late=167ms h=android.app.ActivityThread$H w=159)
7720:01-16 17:52:28.560  1801 14461 I ActivityTaskManager: START u0 {act=android.settings.APPLICATION_DETAILS_SETTINGS dat=package:com.android.todolist flg=0x10008000 cmp=com.android.settings/.applications.InstalledAppDetails} from uid 10025
26250:01-16 18:17:48.908  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.discover/com.xiaomi.market.data.MyPackageMonitor
26251:01-16 18:17:48.919  1801  8845 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.katana/com.facebook.feed.platformads.AppInstallReceiver
26252:01-16 18:17:48.921  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.notification.SystemBroadcastReceiver
26253:01-16 18:17:48.921  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.aad.adal.ApplicationReceiver
26254:01-16 18:17:48.922  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.outlook/com.microsoft.aad.adal.ApplicationReceiver
26255:01-16 18:17:48.922  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.notification.SystemBroadcastReceiver
26256:01-16 18:17:48.922  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.aad.adal.ApplicationReceiver
26257:01-16 18:17:48.922  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to ru.sberbankmobile/com.kavsdk.AppInstallationReceiver
26277:01-16 18:17:49.381  1801  1947 W XSpaceManagerService: update XSpace App: packageName:com.android.todolist, user:UserHandle{0}, action:android.intent.action.PACKAGE_ADDED
26283:01-16 18:17:51.786  1801  6923 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[585,1006][753,1174] (has extras)} from uid 10025
26284:01-16 18:17:51.855  1801  1950 I ActivityManager: Start proc 25877:com.android.todolist/u0a405 for activity {com.android.todolist/com.android.todolist.MainActivity} caller=com.miui.home
26310:01-16 18:17:52.587 25877 25877 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 471ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 241ms (seq=2 running=218ms runnable=5ms io=5ms late=1ms h=android.app.ActivityThread$H w=110), msg 2 took 266ms (seq=3 running=234ms runnable=5ms io=7ms late=205ms h=android.app.ActivityThread$H w=159)
26312:01-16 18:17:52.747  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{eec2ddb u0 com.android.todolist/.MainActivity t12338} time:77548928
26524:01-16 18:24:24.187  1801  1947 I ActivityManager: Force stopping com.android.todolist appid=10405 user=0: deletePackageX
26525:01-16 18:24:24.189  1801  1947 I ActivityManager: Killing 25877:com.android.todolist/u0a405 (adj 700): stop com.android.todolist: deletePackageX
26526:01-16 18:24:24.196  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{eec2ddb u0 com.android.todolist/.MainActivity t12338 f}: app died, no saved state
26530:01-16 18:24:24.479  1801  4838 W LaunchParamsPersister: Failed to delete /data/system_ce/0/launch_params/com.android.todolist_.MainActivity.xml
26531:01-16 18:24:24.804  1801  1985 I ActivityManager: Force stopping com.android.todolist appid=10405 user=0: pkg removed
26536:01-16 18:24:24.879  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.lbe.security.miui/com.lbe.security.service.BootReceiver
26537:01-16 18:24:24.907  1801 14411 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
26538:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.instantapps.appmanagement.InstantAppRemoveMonitor
26539:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.services/com.facebook.oxygen.services.fbns.RegisteredMqttSystemBroadcastReceiver
26540:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.maps/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
26541:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
26542:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
26543:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
26544:01-16 18:24:24.915  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.audioeffect/com.android.musicfx.Compatibility$Receiver
26545:01-16 18:24:24.916  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.discover/com.xiaomi.market.data.MyPackageMonitor
26546:01-16 18:24:24.993  1801  3783 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.xmsf/com.xiaomi.push.service.receivers.PkgUninstallReceiver
26547:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.allgoritm.youla/ru.mail.libverify.utils.PackageStateReceiver
26548:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.citymobil/ru.mail.libverify.utils.PackageStateReceiver
26549:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.deliveryclub/ru.mail.libverify.utils.PackageStateReceiver
26550:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.katana/com.facebook.feed.platformads.AppInstallReceiver
26551:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.photos/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
26552:01-16 18:24:24.995  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
26553:01-16 18:24:24.996  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.notification.SystemBroadcastReceiver
26554:01-16 18:24:24.996  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
26555:01-16 18:24:24.996  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.notification.SystemBroadcastReceiver
26556:01-16 18:24:24.996  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.vkontakte.android/ru.mail.libverify.utils.PackageStateReceiver
26557:01-16 18:24:24.996  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to ru.sberbankmobile/com.kavsdk.AppInstallationReceiver
26569:01-16 18:24:25.276  1801  1801 I ConditionProviders: Disallowing condition provider com.android.todolist
26573:01-16 18:24:25.439  1801  1947 W XSpaceManagerService: update XSpace App: packageName:com.android.todolist, user:UserHandle{0}, action:android.intent.action.PACKAGE_REMOVED
26594:01-16 18:24:29.849  1801  4982 W BroadcastQueueInjector: Unable to launch app com.microsoft.office.word/10137 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26596:01-16 18:24:29.859  1801  1947 W BroadcastQueueInjector: Unable to launch app com.yandex.browser/10222 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26597:01-16 18:24:29.859  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.metro/10223 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26600:01-16 18:24:30.502  1801  3783 W BroadcastQueueInjector: Unable to launch app ru.yandex.translate/10277 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26602:01-16 18:24:30.524  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.yandexbus/10246 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26603:01-16 18:24:30.525  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.yandexnavi/10219 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26800:01-16 18:25:21.040  1801  1985 I InstallationStatistic: com.android.todolist|null|2795|214|47|1684|447|0
26803:01-16 18:25:21.063  1801  3284 I MiuiCompatModePackages: package com.android.todolist updated, removing config
26804:01-16 18:25:21.082  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.lbe.security.miui/com.lbe.security.service.BootReceiver
26807:01-16 18:25:21.103  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
26808:01-16 18:25:21.150  1801  4979 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
26809:01-16 18:25:21.154  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.appmanager/com.facebook.oxygen.common.packages.event.manifest.ManifestPackageEventReceiver
26810:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
26811:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
26812:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
26813:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
26814:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.audioeffect/com.android.musicfx.Compatibility$Receiver
26815:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.global.packageinstaller/.AppInstalledReceiver
26816:01-16 18:25:21.155  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.discover/com.xiaomi.market.data.MyPackageMonitor
26833:01-16 18:25:21.443  1801  1947 W XSpaceManagerService: update XSpace App: packageName:com.android.todolist, user:UserHandle{0}, action:android.intent.action.PACKAGE_ADDED
26837:01-16 18:25:22.021  1801  6328 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.katana/com.facebook.feed.platformads.AppInstallReceiver
26838:01-16 18:25:22.030  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.notification.SystemBroadcastReceiver
26839:01-16 18:25:22.030  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.aad.adal.ApplicationReceiver
26840:01-16 18:25:22.030  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.outlook/com.microsoft.aad.adal.ApplicationReceiver
26841:01-16 18:25:22.031  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.notification.SystemBroadcastReceiver
26842:01-16 18:25:22.031  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.aad.adal.ApplicationReceiver
26843:01-16 18:25:22.031  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to ru.sberbankmobile/com.kavsdk.AppInstallationReceiver
26878:01-16 18:25:24.459  1801 15259 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[584,1005][752,1173] (has extras)} from uid 10025
26879:01-16 18:25:24.533  1801  1950 I ActivityManager: Start proc 27644:com.android.todolist/u0a406 for activity {com.android.todolist/com.android.todolist.MainActivity} caller=com.miui.home
26905:01-16 18:25:25.087 27644 27644 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 433ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 231ms (seq=2 running=202ms runnable=3ms io=11ms late=4ms h=android.app.ActivityThread$H w=110), msg 2 took 239ms (seq=3 running=216ms runnable=4ms io=1ms late=194ms h=android.app.ActivityThread$H w=159)
26907:01-16 18:25:25.272  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{f736686 u0 com.android.todolist/.MainActivity t12340} time:78001452
26915:01-16 18:26:11.865  4988 18081 W MiuiPerfServiceClient: interceptAndQueuing:27644|com.android.todolist|257|73|unknown|null|com.android.todolist/com.android.todolist.MainActivity|78047561250955|Slow issue draw commands|12
27038:01-16 18:29:30.039  1801  8845 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[584,1005][752,1173] (has extras)} from uid 10025
27041:01-16 18:29:30.607  1801  3783 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{f736686 u0 com.android.todolist/.MainActivity t12340} time:78246787
27044:01-16 18:29:34.634  1801  4204 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@fdd6701
27051:01-16 18:30:48.283  4988 18081 W MiuiPerfServiceClient: interceptAndQueuing:27644|com.android.todolist|84|81|unknown|null|com.android.todolist/com.android.todolist.MainActivity|78323864143245|Slow issue draw commands|2
27052:01-16 18:30:48.486  1801  4204 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@9681c66
27075:01-16 18:31:50.696  1801  1947 I ActivityManager: Force stopping com.android.todolist appid=10406 user=-1: deletePackageX
27076:01-16 18:31:50.700  1801  1947 I ActivityManager: Killing 27644:com.android.todolist/u0a406 (adj 700): stop com.android.todolist: deletePackageX
27077:01-16 18:31:50.707  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{f736686 u0 com.android.todolist/.MainActivity t12340 f}: app died, no saved state
27083:01-16 18:31:51.069  1801  4838 W LaunchParamsPersister: Failed to delete /data/system_ce/0/launch_params/com.android.todolist_.MainActivity.xml
27084:01-16 18:31:51.364  1801  1985 I ActivityManager: Force stopping com.android.todolist appid=10406 user=0: pkg removed
27088:01-16 18:31:51.397  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.lbe.security.miui/com.lbe.security.service.BootReceiver
27091:01-16 18:31:51.437  1801  3763 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
27092:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.instantapps.appmanagement.InstantAppRemoveMonitor
27093:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.services/com.facebook.oxygen.services.fbns.RegisteredMqttSystemBroadcastReceiver
27094:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.maps/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
27095:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
27096:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
27097:01-16 18:31:51.439  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
27098:01-16 18:31:51.480  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.audioeffect/com.android.musicfx.Compatibility$Receiver
27099:01-16 18:31:51.488  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.discover/com.xiaomi.market.data.MyPackageMonitor
27101:01-16 18:31:51.510  1801  4982 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.xmsf/com.xiaomi.push.service.receivers.PkgUninstallReceiver
27102:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.allgoritm.youla/ru.mail.libverify.utils.PackageStateReceiver
27103:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.citymobil/ru.mail.libverify.utils.PackageStateReceiver
27104:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.deliveryclub/ru.mail.libverify.utils.PackageStateReceiver
27105:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.katana/com.facebook.feed.platformads.AppInstallReceiver
27106:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.photos/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
27107:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
27108:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.notification.SystemBroadcastReceiver
27109:01-16 18:31:51.512  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
27110:01-16 18:31:51.513  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.notification.SystemBroadcastReceiver
27111:01-16 18:31:51.513  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.vkontakte.android/ru.mail.libverify.utils.PackageStateReceiver
27112:01-16 18:31:51.513  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to ru.sberbankmobile/com.kavsdk.AppInstallationReceiver
27119:01-16 18:31:52.116  1801  1947 W XSpaceManagerService: update XSpace App: packageName:com.android.todolist, user:UserHandle{0}, action:android.intent.action.PACKAGE_REMOVED
27121:01-16 18:31:52.125  1801  1801 I ConditionProviders: Disallowing condition provider com.android.todolist
27135:01-16 18:31:54.570  1801  6923 W BroadcastQueueInjector: Unable to launch app com.microsoft.office.word/10137 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
27136:01-16 18:31:54.574  1801  1947 W BroadcastQueueInjector: Unable to launch app com.yandex.browser/10222 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
27137:01-16 18:31:54.575  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.metro/10223 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
27138:01-16 18:31:54.589  1801  6923 W BroadcastQueueInjector: Unable to launch app ru.yandex.translate/10277 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
27139:01-16 18:31:54.594  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.yandexbus/10246 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
